"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"04_Abies_France_Haute_Provence" "04" "France Haute Provence" NA NA NA NA FALSE "Abies_France_Haute_Provence" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_France_Massif_Central_West" "04" "France Massif Central West" NA NA NA NA FALSE "Abies_France_Massif_Central_West" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_France_Pyrenees" "04" "France Pyrenees" NA NA NA NA FALSE "Abies_France_Pyrenees" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Georgia_Ambrolauri" "04" "Georgia Ambrolauri" NA NA NA NA FALSE "Abies_Georgia_Ambrolauri" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Germany_Traunstein" "04" "Germany Traunstein" NA NA NA NA TRUE "Abies_Germany_Traunstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Poland_Sudety" "04" "Poland Sudety" NA NA NA NA TRUE "Abies_Poland_Sudety" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Romania_SE_Carpathians" "04" "Romania SE Carpathians" NA NA NA NA FALSE "Abies_Romania_SE_Carpathians" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"04_Abies_Slovakia_North_Region" "04" "Slovakia North Region" NA NA NA NA FALSE "Abies_Slovakia_North_Region" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Croatia_Crni_Lazi" "05" "Croatia Crni Lazi" NA NA NA NA TRUE "Abies_Croatia_Crni_Lazi" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_France_Corse" "05" "France Corse" NA NA NA NA FALSE "Abies_France_Corse" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_France_Haute_Provence" "05" "France Haute Provence" NA NA NA NA TRUE "Abies_France_Haute_Provence" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_France_Massif_Central_West" "05" "France Massif Central West" NA NA NA NA FALSE "Abies_France_Massif_Central_West" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_France_Pyrenees" "05" "France Pyrenees" NA NA NA NA FALSE "Abies_France_Pyrenees" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Georgia_Ambrolauri" "05" "Georgia Ambrolauri" NA NA NA NA TRUE "Abies_Georgia_Ambrolauri" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Germany_Traunstein" "05" "Germany Traunstein" NA NA NA NA FALSE "Abies_Germany_Traunstein" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Poland_Sudety" "05" "Poland Sudety" NA NA NA NA TRUE "Abies_Poland_Sudety" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Romania_SE_Carpathians" "05" "Romania SE Carpathians" NA NA NA NA FALSE "Abies_Romania_SE_Carpathians" 0.04 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"05_Abies_Slovakia_North_Region" "05" "Slovakia North Region" NA NA NA NA TRUE "Abies_Slovakia_North_Region" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"06_Abies_France_Corse" "06" "France Corse" NA NA NA NA FALSE "Abies_France_Corse" 0.08 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
