"class" "garden" "provenance" "g" "alpha" "beta" "delta" "never_germinated" "provenance_full" "g_without_death" "num_seeds_germinated" "keep" "p_survive_until_x_1" "p_survive_until_x_2" "p_survive_until_x_3" "p_survive_until_x_4" "p_survive_until_x_5" "p_survive_until_x_6" "p_survive_until_x_7" "p_survive_until_x_8" "p_survive_until_x_9" "p_survive_until_x_10" "p_survive_until_x_11" "p_survive_until_x_12" "p_survive_until_x_13" "p_survive_until_x_14" "p_survive_until_x_15" "p_survive_until_x_16" "p_survive_until_x_17" "p_survive_until_x_18" "p_survive_until_x_19" "p_survive_until_x_20"
"07_Fagus_Italy_Passo_Fittanze" "07" "Italy Passo Fittanze" 0.209197 0.00993189 0.000233725 0.101013 FALSE "Fagus_Italy_Passo_Fittanze" 0.18 9 TRUE 0.189326684863966 0.171347783816902 0.155079871931005 0.140359771933486 0.127039901929954 0.114986781744997 0.10407968262088 0.0942094064862911 0.0852771823359406 0.0779661940950421 0.0705771972684424 0.0638899781835856 0.0578377418126614 0.0523600642309917 0.0474022836319462 0.0429149496750579 0.0388533255679892 0.0351769378215971 0.0318491691040344 0.0291247985081354
"07_Fagus_Romania_SE_Carpathians" "07" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"07_Fagus_Slovakia_Middle_Region" "07" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"07_Fagus_Slovenia_Dinarsko" "07" "Slovenia Dinarsko" 0.991766 0.0390259 0.0773822 0.129267 FALSE "Fagus_Slovenia_Dinarsko" 0.56 28 TRUE 0.731595095983107 0.552681522692409 0.426775054513576 0.346076129346472 0.277177852598495 0.225868608712164 0.18701296333019 0.160465589043872 0.136438628725189 0.117479306005622 0.102335377484757 0.0914968734306105 0.0812613071718289 0.0728368180835715 0.0658410653865529 0.0606619703747398 0.0556167890892612 0.0513345840368073 0.0481034572797808 0.0449003266460097
"07_Fagus_Switzerland_Salenstein" "07" "Switzerland Salenstein" NA NA NA NA FALSE "Fagus_Switzerland_Salenstein" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Austria_Randgebirge_South" "08" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_France_Massif_Armoricain" "08" "France Massif Armoricain" NA NA NA NA FALSE "Fagus_France_Massif_Armoricain" 0.0212765957446809 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_France_Massif_Central_North" "08" "France Massif Central North" NA NA NA NA FALSE "Fagus_France_Massif_Central_North" 0.0425531914893617 2 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Iran_Alborz_Mountains" "08" "Iran Alborz Mountains" NA NA NA NA FALSE "Fagus_Iran_Alborz_Mountains" 0.0103092783505155 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Italy_Passo_Fittanze" "08" "Italy Passo Fittanze" NA NA NA NA FALSE "Fagus_Italy_Passo_Fittanze" 0.0833333333333333 4 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Romania_SE_Carpathians" "08" "Romania SE Carpathians" NA NA NA NA TRUE "Fagus_Romania_SE_Carpathians" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Slovakia_Middle_Region" "08" "Slovakia Middle Region" NA NA NA NA FALSE "Fagus_Slovakia_Middle_Region" 0.02 1 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"08_Fagus_Slovenia_Dinarsko" "08" "Slovenia Dinarsko" 0.995969 0.0238945 0.269714 0.0567981 FALSE "Fagus_Slovenia_Dinarsko" 0.153846153846154 6 TRUE 0.683172185745653 0.513553707692097 0.418075024479107 0.353988600681692 0.312033610592166 0.284886459960845 0.264648097759839 0.250940361643429 0.240361727763967 0.232633410853275 0.22720888994713 0.22290801213235 0.219853425037203 0.217409825877438 0.215573405298891 0.214257045636107 0.213196591545445 0.212434123942332 0.211818457129402 0.21135236316936
"08_Fagus_Switzerland_Salenstein" "08" "Switzerland Salenstein" NA NA NA NA TRUE "Fagus_Switzerland_Salenstein" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11_Fagus_Austria_Randgebirge_South" "11" "Austria Randgebirge South" NA NA NA NA TRUE "Fagus_Austria_Randgebirge_South" 0 0 FALSE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
